id,severity,classification,title,files,evidence,impact,required_fix,required_tests
P1-009,P1,VERIFIED,同一 Session 可同时启动多个 Run，active_run_id 会被覆盖,apps/api/routers/messages.py; src/personal_ai_os/db/models.py,post_message 未检查 active run；每次都 start_streaming，随后直接覆盖 sess.active_run_id。,并发消息读取相同历史并互相交错持久化，记忆/审批/最终回答顺序失真。,明确 session concurrency policy：默认 serialized。用 DB CAS/partial unique constraint 保证每 session 最多一个 active run；新消息排队或 409。,并发 POST 两条消息：只允许一个 running，另一条 queued/409；消息顺序稳定。
P1-010,P1,VERIFIED,SessionRouter get-or-create 是 SELECT→INSERT race，且仓库无 Alembic version migration,src/personal_ai_os/gateway/router.py; src/personal_ai_os/db/models.py; migrations/,模型注释自己承认 partial unique index 应由 Alembic 添加；递归树只有 env.py/script.py.mako，无 versions。,并发 inbound 可创建重复 active session；生产 schema 无可追溯迁移。,新增 Alembic baseline + partial unique index；使用 INSERT ON CONFLICT/IntegrityError retry。,两个并发 get_or_create 只能得到同一个 session id；migration upgrade/downgrade CI。
P1-011,P1,VERIFIED,消息/工具去重依赖进程内 dict，重启后可能重复持久化,src/personal_ai_os/agent_runtime/runner.py; src/personal_ai_os/db/models.py,_persisted_message_count/_persisted_tool_ids 是内存结构；Message 无稳定 sequence/idempotency constraint，ToolCall idempotency_key 无 unique constraint。,resume/restart 后重复消息/ToolCall，审计和上下文污染。,"每条 graph event 使用稳定 event_id/sequence；DB unique(run_id,event_id)；ToolCall unique(run_id,idempotency_key) where not null；持久化采用 upsert。",restart/resume 重放同一 checkpoint 100 次，DB 仍只有一份。
P1-012,P1,VERIFIED,HTTP SSRF 保护存在 DNS rebinding/解析与连接分离,connectors/http_fetch/connector.py,先 socket.getaddrinfo 检查，再由 httpx 独立解析并连接；DNS 可在两次解析之间变化。,攻击者域名可先解析公网再 rebinding 到 127.0.0.1/metadata 私网。,使用受控 resolver 并 pin 已验证 IP 到连接；连接后校验 peer IP；阻断 IPv4/IPv6 private/metadata ranges；prod allowlist 默认非空。,模拟 DNS 第一次 public 第二次 private；请求必须阻断。
P1-013,P1,VERIFIED,Tool capability 元数据没有注册期不变量校验,src/personal_ai_os/tool_broker/registry.py; src/personal_ai_os/policy_engine/engine.py,Policy 主要信任 risk_level；side_effect/destructive/external_write/idempotent 只是 descriptor 数据。,未来新增 connector 很容易像 HTTP 一样错标，直接绕过审批。,ToolRegistry.register 做 CapabilityValidator：destructive=>R4；external side effect=>>=R3；non-idempotent write 不可 R0/R1；凭据操作最低策略。,property-based test 枚举非法 descriptor 组合必须拒绝注册。
P1-014,P1,VERIFIED,list_available_tools / API tool listing 不按 owner capability 过滤,src/personal_ai_os/tool_broker/broker.py; apps/api/routers/tools.py,broker 注释 owner_id accepted but not consulted；API 直接 registry.list_all。,多用户时会暴露并可诱导模型调用不属于该用户的工具/能力。,"统一 CapabilityService.visible_tools(owner_id,session/project)；ContextEngine 与 API 都必须调用同一过滤器。",A/B 用户工具列表不同且模型 tools schema 同步不同。
P1-015,P1,PROJECTED,ToolBroker.test_tool 是真实执行但绕过 policy/audit 的危险 public method,src/personal_ai_os/tool_broker/broker.py,docstring 明写 dry-run bypassing policy，但实现实际 connector.execute。当前 API 未暴露。,未来一旦被调试端点/MCP 复用，就成为直接安全旁路。,删除或改为 validate_tool（只 schema/policy simulation，不 execute）；需要真实测试时只允许 dev-only isolated connector。,静态测试禁止生产代码调用 bypass_policy execution API。
P1-016,P1,VERIFIED,模型流失败后无条件 complete 重试，可能产生重复费用/不同决策,src/personal_ai_os/agent_runtime/graph.py,_model_call stream 任意异常后再次 complete(request)。,已经收到部分 token/tool reasoning 后再发新请求，费用翻倍且第二次可能生成不同工具调用。,只有“首字节前失败”可透明 fallback；首 delta 后失败则返回 interrupted/model_stream_error，可由上层带 idempotency token 重试。记录 provider request_id。,流输出 1 token 后断开：不得自动发第二个模型请求。
P1-017,P1,VERIFIED,OpenAI tool 名 sanitize 存在碰撞,src/personal_ai_os/model_gateway/provider.py,a.b 与 a_b 都映射为 a_b；name_map keyed sanitized name。,多 connector 后模型调用可能回映射到错误工具。,使用稳定可逆编码或注册时生成 provider_alias（带 hash）；启动时检测 alias collision。,a.b/a_b/a-b 三工具同时注册仍能准确 round-trip。
P1-018,P1,VERIFIED,自定义 provider base_url 会携带 API key 发往任意 URL,src/personal_ai_os/model_gateway/config.py; src/personal_ai_os/model_gateway/provider.py,profile 可设置任意 base_url；Authorization Bearer api_key 始终发送。,误配置/恶意 profile 可把密钥发到 HTTP/攻击者主机。,非 localhost 默认强制 HTTPS；首次未知域名显示 host+TLS 指纹确认；配置 key 与 endpoint host 绑定；支持 no-auth local profile。,http://evil.example + key 配置必须拒绝；localhost Ollama 可按 no-auth 模式。
P1-019,P1,VERIFIED,SSE live queue 满时静默丢事件，客户端无法知道有 gap,src/personal_ai_os/agent_runtime/streams.py; apps/api/routers/stream.py,QueueFull 直接 pass；seq 是每连接临时生成，不对应持久事件序号。,长输出/慢客户端会缺 token/tool lifecycle，CLI 仍可能误认为完整。,事件先写 durable EventLog（或至少关键事件 durable）；每 run 单调 event_seq；SSE 支持 Last-Event-ID/replay；token delta 可合并但必须发 gap/coalesced 标记。,人工制造 QueueFull；客户端最终必须能从 replay 得到完整 terminal/tool state。
P1-020,P1,PROJECTED,in-process streams/EventBus 在 multi-worker/多副本部署失效,src/personal_ai_os/agent_runtime/streams.py; src/personal_ai_os/scheduler/event_bus.py,均明确为进程内 dict/pubsub。,API worker A 执行、SSE 落 worker B 时看不到 live queue；scheduler/audit subscriber 也不一致。,在进入 multi-worker 前引入 Redis Streams/Postgres event log/NATS；sticky session 只能临时缓解。,2 worker integration：任意 worker 订阅都能看到同一 run。
P1-021,P1,VERIFIED,API key 以明文存数据库,apps/api/deps.py; src/personal_ai_os/db/models.py,User.api_key 直接 equality 查询。,DB 泄漏即获得所有 API 身份凭据，且无法显示 prefix/轮换审计。,存 key_prefix + HMAC/Argon2 hash；创建时只返回明文一次；支持 rotate/revoke/last_used_at。,DB dump 不含可用 key；旧 key 迁移后失效/按计划轮换。
P1-022,P1,VERIFIED,CORS 配置为 * + credentials,apps/api/main.py,"allow_origins=[""*""], allow_credentials=True, allow_methods/headers=*。",浏览器部署时扩大跨站调用风险，配置语义也容易与反代认证组合出问题。,默认不启 CORS；显式 PERSONAL_AI_CORS_ORIGINS allowlist；credentials 按需。,evil origin preflight 不返回允许头；合法 origin 正常。
P1-023,P1,VERIFIED,healthz 永远 ok，服务依赖可因 _lazy 被吞异常而缺失,apps/api/main.py; src/personal_ai_os/gateway/services.py,_lazy/complete_wiring 吞异常返回 None；healthz 只返回静态 ok；无 provider 时还能 EchoProvider。,编排器认为实例健康，但 runner/tool/memory 实际不可用；生产出现“半死不活”。,分 /livez 与 /readyz；ready 检 DB migration、provider config、runner、checkpointer、required connectors。prod strict wiring，dev 才允许 graceful degradation。,故意破坏 connector/provider 初始化：live=200，ready=503，prod 可配置 fail startup。
P1-024,P1,VERIFIED,数据库配置文档声称生产必须显式 DATABASE_URL，代码却静默 SQLite fallback,src/personal_ai_os/db/session.py; apps/api/main.py,docstring 与 get_database_url/ensure_database 行为相反，且 startup create_all。,生产误部署到本地 SQLite；并发/备份/迁移行为与预期不符。,APP_ENV=prod 时 DATABASE_URL 缺失立即启动失败；dev 才允许 SQLite。生产只跑 alembic upgrade，不 create_all。,prod env 无 DATABASE_URL 必须 non-zero exit。
P1-025,P1,VERIFIED,仓库没有真正 Alembic versions，schema 只能 create_all 演化,migrations/; src/personal_ai_os/db/session.py,tree 仅 env.py/script.py.mako。,升级无法安全迁移现有用户数据，也无法补关键 unique/checkpoint/event 约束。,建立 baseline revision + 每变更 migration；CI 从空库 upgrade head、从上个 release upgrade、downgrade smoke。,alembic current=head；schema drift check 为 0。
P1-026,P1,VERIFIED,请求 schema 大量字符串/字典无尺寸限制,apps/api/schemas.py,Message.text、memory.content、automation.prompt、edited_arguments 等无 max_length/serialized bytes。,可制造超大 DB rows、模型上下文成本爆炸、JSON 解析压力。,API middleware 限 body bytes；Pydantic 字段 max_length；dict depth/items；附件独立上传协议。,超过阈值返回 413/422，不创建 Run。
P1-027,P1,VERIFIED,Run resume CAS 后若 runner 崩溃会永久 stuck running,apps/api/routers/runs.py; src/personal_ai_os/agent_runtime/runner.py,API 先 waiting_approval→running commit，再调用 runner.resume；中间进程死亡无 lease。,审批已消耗但 run 无 worker，active_run 占用且用户无法再次 resume。,引入 execution lease: status + lease_owner + lease_expires_at + attempt；worker claim 后执行，可过期回收；或 transactional outbox/job queue。,在 CAS 后 kill -9；新实例可 reclaim 并 exactly-once/at-least-once-safe 续跑。
P1-028,P1,VERIFIED,resume 成功路径没有 session memory compaction,src/personal_ai_os/agent_runtime/runner.py,start/start_streaming completion 调 _compact_session_memory；resume normal completion 未调用。,经历审批的长会话 summary/memory 与普通会话行为不一致。,所有 terminal completed 统一进入 finalize pipeline，其中包含 compaction，不分 start/resume。,同一对话有/无 approval，最终 summary 更新规则一致。
P1-029,P1,VERIFIED,plan 节点基本是展示性结构，不约束后续 tool 决策,src/personal_ai_os/agent_runtime/graph.py,L2/L3 plan 后仍直接 tool_request；后续 decide 依赖模型，不基于计划 step contract；current_step 只机械递增。,UI 显示“计划”但执行可能偏离，未来复杂任务难恢复/审计。,PlanStep 加 expected_capability/preconditions/postconditions/status；decide 必须绑定 current_step 或显式 replan；偏离产 plan.changed event。,脚本模型故意调用与 current step 不符工具，runtime 必须 replan/拒绝而不是静默执行。
P1-030,P1,VERIFIED,tool.started 在审批之前发出，生命周期语义错误,src/personal_ai_os/agent_runtime/graph.py,tool_request 在 broker.execute 前 push tool.started；broker 可能立即 ApprovalRequired；批准后真实执行路径没有对应一致 started 语义。,CLI 卡片会显示工具已开始但其实仅请求审批，审计/耗时不可信。,拆 event：tool.requested→approval.required→tool.started(真实 connector 前)→tool.completed/failed。唯一 tool_call_id 贯穿。,approval 工具事件序列严格断言，不得 started→approval.required。
P1-031,P1,VERIFIED,非法 tool arguments JSON 被静默转成 {},src/personal_ai_os/agent_runtime/graph.py,_extract_tool_call_fields json.loads 失败/非 dict 均 fallback {}。,模型参数错误被掩盖成 schema error/甚至无参工具误执行，诊断困难。,返回 ParseError tool result，包含安全截断的原始片段；绝不能替换成 {} 执行。,"arguments=""{bad"" 不调用 connector，模型收到 TOOL_ARGUMENT_PARSE_ERROR。"
P1-032,P1,VERIFIED,缺 run_id/owner_id 时运行时随机生成 UUID，而非 fail-fast,src/personal_ai_os/agent_runtime/graph.py,tool_request 对缺失 run/owner 使用 uuid4。,审计、owner policy、credentials 可能绑定到不存在的随机主体，隐藏调用方 bug。,AgentState 强 schema；进入 graph 前 validate required identity；缺任何身份立即 fail。,删除 owner_id 的 state 必须在 tool broker 前失败。
P1-033,P1,VERIFIED,安全审计完全 fail-soft，可无声丢失,src/personal_ai_os/tool_broker/broker.py; src/personal_ai_os/scheduler/event_bus.py,audit/_record/publish 错误多为 logger.warning 后继续。,敏感外部动作可能成功但没有 durable audit，调查/合规无法证明。,分级：业务 telemetry fail-soft；security audit 对 R3/R4 采用 transactional outbox，至少先 durable intent 再执行。,让 Audit DB 故障：R3/R4 不得不可追踪地执行成功。
P1-034,P1,VERIFIED,automation.run 在确定 501 前先更新 last_run_at,apps/api/routers/automations.py,先 a.last_run_at=now，随后 scheduler None→501。,UI/运营数据会记录一次“运行”但实际上从未执行。,last_attempt_at 与 last_success_at 分离；未 wired 不应写 last_success/last_run。,scheduler None 后 last_success_at 保持 null，last_attempt 可记录 failure reason。
P2-001,P2,PROJECTED,本地 provider API key 以明文 JSON 存储,src/personal_ai_os/model_gateway/config.py,profiles.json 保存完整 api_key；目录 chmod 0700 best effort。,本机恶意软件/备份泄漏/Windows ACL 下风险较高。,优先 OS keyring/Secret Service/DPAPI；JSON 仅保存 secret_ref；兼容迁移旧 profile。,迁移后 profiles.json 不含 sk-/token 原文。
P2-002,P2,VERIFIED,LogSanitizer 对 list 内字符串不递归 sanitize,src/personal_ai_os/common/utils.py,sanitize_dict 对 list 仅递归 dict 元素，普通 string 原样保留。,structured result/audit 中 list[str] 可能泄露 token/Authorization。,实现 generic sanitize_value 对 dict/list/tuple/string 全递归；加入深度/节点上限防 DoS。,"{""x"":[""Bearer SECRET...""]} 必须被脱敏。"
P2-003,P2,PROJECTED,SQLite fallback 不适合并发 Runner/多任务写入,src/personal_ai_os/db/session.py,文件 SQLite + NullPool 仍有单写者锁竞争；系统有 RunStep/ToolCall/Message 高频写。,并发运行时 database is locked/高 tail latency。,SQLite 明确仅 dev/single-process；prod Postgres。dev 开 WAL+busy_timeout 并降低写频。,10 concurrent runs dev 不死锁；prod perf 使用 Postgres。
P2-004,P2,PROJECTED,模型价格表硬编码且未知 provider 费用归零,src/personal_ai_os/model_gateway/provider.py,OpenAI-compatible cost_usd=0，Anthropic pricing 静态。,预算/费用告警将系统性低估，无法做真正 cost guardrail。,provider profile 携 pricing/version；记录 raw usage；budget service 独立计算并支持未知价格=unknown 而非 0。,未知模型 UI 显示 unknown，不显示 $0.00。
P2-005,P2,PROJECTED,事件 schema_version 固定 1 但缺服务端兼容策略/持久 event id,apps/api/routers/stream.py; src/personal_ai_os/cli/domain/normalizer.py,event_id 每次 replay uuid4，seq 每次连接从 1 开始。,客户端无法稳定去重、断点续传；以后 schema v2 难演进。,event_id/seq 在事件产生时持久化；envelope version negotiation；unknown event 保留 raw payload。,同一 run replay 两次 event_id/seq 稳定一致。
